City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,"Landfill Location (Lat, Long)",Landfill Capacity (Tons),Year
Lucknow,Plastic,5485,69,23465,9,Recycling,1887,17,Lucknow Landfill,"10.3904, 81.8808",80251,2021
Lucknow,Organic,4261,36,23465,6,Incineration,1107,19,Lucknow Landfill,"10.3904, 81.8808",80251,2021
Lucknow,E-Waste,2281,45,23465,8,Landfill,4891,7,Lucknow Landfill,"10.3904, 81.8808",80251,2021
Lucknow,Construction,4060,77,23465,6,Landfill,1363,20,Lucknow Landfill,"10.3904, 81.8808",80251,2021
Lucknow,Hazardous,6073,36,23465,7,Landfill,4873,6,Lucknow Landfill,"10.3904, 81.8808",80251,2021
Lucknow,Plastic,8714,53,23465,9,Incineration,4265,11,Lucknow Landfill,"10.3904, 81.8808",80251,2022
Lucknow,Organic,9845,55,23465,9,Recycling,3000,7,Lucknow Landfill,"10.3904, 81.8808",80251,2022
Lucknow,E-Waste,9114,36,23465,5,Recycling,3126,2,Lucknow Landfill,"10.3904, 81.8808",80251,2022
Lucknow,Construction,5748,73,23465,7,Composting,3385,4,Lucknow Landfill,"10.3904, 81.8808",80251,2022
Lucknow,Hazardous,3455,81,23465,10,Composting,2559,15,Lucknow Landfill,"10.3904, 81.8808",80251,2022
Lucknow,Plastic,9404,75,23465,9,Composting,1263,9,Lucknow Landfill,"10.3904, 81.8808",80251,2023
Lucknow,Organic,8622,42,23465,6,Recycling,2945,20,Lucknow Landfill,"10.3904, 81.8808",80251,2023
Lucknow,E-Waste,5529,50,23465,9,Composting,1973,16,Lucknow Landfill,"10.3904, 81.8808",80251,2023
Lucknow,Construction,3693,67,23465,7,Incineration,3089,3,Lucknow Landfill,"10.3904, 81.8808",80251,2023
Lucknow,Hazardous,6895,70,23465,5,Landfill,2047,18,Lucknow Landfill,"10.3904, 81.8808",80251,2023
Surat,Plastic,8754,47,24032,7,Landfill,4074,11,Surat Landfill,"32.805, 89.0238",38471,2019
Surat,Organic,4071,45,24032,9,Landfill,1912,12,Surat Landfill,"32.805, 89.0238",38471,2019
Surat,E-Waste,5878,40,24032,7,Recycling,4904,6,Surat Landfill,"32.805, 89.0238",38471,2019
Surat,Construction,2465,35,24032,5,Incineration,3305,11,Surat Landfill,"32.805, 89.0238",38471,2019
Surat,Hazardous,1873,70,24032,9,Recycling,3643,2,Surat Landfill,"32.805, 89.0238",38471,2019
Surat,Plastic,9318,66,24032,5,Incineration,3163,4,Surat Landfill,"32.805, 89.0238",38471,2020
Surat,Organic,4320,66,24032,8,Composting,4625,15,Surat Landfill,"32.805, 89.0238",38471,2020
Surat,E-Waste,3662,76,24032,5,Landfill,2282,1,Surat Landfill,"32.805, 89.0238",38471,2020
Surat,Construction,711,60,24032,7,Landfill,4375,19,Surat Landfill,"32.805, 89.0238",38471,2020
Surat,Hazardous,3540,51,24032,7,Landfill,4362,4,Surat Landfill,"32.805, 89.0238",38471,2020
Surat,Plastic,1690,55,24032,5,Incineration,799,9,Surat Landfill,"32.805, 89.0238",38471,2021
Surat,Organic,7629,64,24032,9,Landfill,617,13,Surat Landfill,"32.805, 89.0238",38471,2021
Surat,E-Waste,7181,75,24032,7,Composting,870,3,Surat Landfill,"32.805, 89.0238",38471,2021
Surat,Construction,2964,64,24032,6,Landfill,1093,10,Surat Landfill,"32.805, 89.0238",38471,2021
Surat,Hazardous,7457,49,24032,8,Composting,1591,12,Surat Landfill,"32.805, 89.0238",38471,2021
Surat,Plastic,8273,39,24032,5,Composting,2375,4,Surat Landfill,"32.805, 89.0238",38471,2022
Surat,Organic,3841,82,24032,6,Landfill,873,5,Surat Landfill,"32.805, 89.0238",38471,2022
Surat,E-Waste,6680,31,24032,6,Composting,3367,14,Surat Landfill,"32.805, 89.0238",38471,2022
Surat,Construction,9396,61,24032,10,Landfill,3159,11,Surat Landfill,"32.805, 89.0238",38471,2022
Surat,Hazardous,9819,71,24032,6,Recycling,3335,0,Surat Landfill,"32.805, 89.0238",38471,2022
Surat,Plastic,7045,36,24032,7,Incineration,4404,13,Surat Landfill,"32.805, 89.0238",38471,2023
Surat,Organic,7984,36,24032,9,Composting,3024,2,Surat Landfill,"32.805, 89.0238",38471,2023
Surat,E-Waste,4476,83,24032,5,Incineration,4780,9,Surat Landfill,"32.805, 89.0238",38471,2023
Surat,Construction,8728,46,24032,10,Incineration,739,13,Surat Landfill,"32.805, 89.0238",38471,2023
Surat,Hazardous,5131,52,24032,6,Incineration,4379,5,Surat Landfill,"32.805, 89.0238",38471,2023
Kanpur,Plastic,9164,46,18697,8,Incineration,3975,13,Kanpur Landfill,"13.0189, 89.182",22690,2019
Kanpur,Organic,7073,31,18697,8,Landfill,1308,15,Kanpur Landfill,"13.0189, 89.182",22690,2019
Kanpur,E-Waste,3244,48,18697,10,Landfill,2550,15,Kanpur Landfill,"13.0189, 89.182",22690,2019
Kanpur,Construction,1894,61,18697,5,Recycling,4219,9,Kanpur Landfill,"13.0189, 89.182",22690,2019
Kanpur,Hazardous,765,76,18697,8,Recycling,3043,2,Kanpur Landfill,"13.0189, 89.182",22690,2019
Kanpur,Plastic,7631,30,18697,10,Composting,1798,0,Kanpur Landfill,"13.0189, 89.182",22690,2020
Kanpur,Organic,5690,31,18697,7,Incineration,916,14,Kanpur Landfill,"13.0189, 89.182",22690,2020
Kanpur,E-Waste,1151,58,18697,8,Recycling,1324,5,Kanpur Landfill,"13.0189, 89.182",22690,2020
Kanpur,Construction,3512,33,18697,9,Landfill,600,13,Kanpur Landfill,"13.0189, 89.182",22690,2020
Kanpur,Hazardous,3659,85,18697,10,Composting,967,19,Kanpur Landfill,"13.0189, 89.182",22690,2020
Kanpur,Plastic,1685,32,18697,6,Composting,4424,12,Kanpur Landfill,"13.0189, 89.182",22690,2021
Kanpur,Organic,2380,51,18697,6,Landfill,3237,18,Kanpur Landfill,"13.0189, 89.182",22690,2021
Kanpur,E-Waste,2425,67,18697,6,Recycling,2881,11,Kanpur Landfill,"13.0189, 89.182",22690,2021
Kanpur,Construction,2175,49,18697,5,Landfill,4912,20,Kanpur Landfill,"13.0189, 89.182",22690,2021
Kanpur,Hazardous,9047,65,18697,6,Recycling,4499,12,Kanpur Landfill,"13.0189, 89.182",22690,2021
Kanpur,Plastic,7509,84,18697,9,Incineration,2977,0,Kanpur Landfill,"13.0189, 89.182",22690,2022
Kanpur,Organic,4907,35,18697,10,Landfill,1193,14,Kanpur Landfill,"13.0189, 89.182",22690,2022
Kanpur,E-Waste,8691,36,18697,9,Recycling,2462,14,Kanpur Landfill,"13.0189, 89.182",22690,2022
Kanpur,Construction,2431,64,18697,6,Recycling,4364,19,Kanpur Landfill,"13.0189, 89.182",22690,2022
Kanpur,Hazardous,9223,67,18697,5,Recycling,902,8,Kanpur Landfill,"13.0189, 89.182",22690,2022
Kanpur,Plastic,4064,36,18697,10,Landfill,2196,4,Kanpur Landfill,"13.0189, 89.182",22690,2023
Kanpur,Organic,2382,80,18697,8,Landfill,716,2,Kanpur Landfill,"13.0189, 89.182",22690,2023
Kanpur,E-Waste,3758,62,18697,6,Composting,2497,20,Kanpur Landfill,"13.0189, 89.182",22690,2023
Kanpur,Construction,9586,35,18697,7,Composting,2247,8,Kanpur Landfill,"13.0189, 89.182",22690,2023
Kanpur,Hazardous,6429,52,18697,10,Incineration,1129,9,Kanpur Landfill,"13.0189, 89.182",22690,2023
Nagpur,Plastic,3771,51,19087,10,Landfill,3717,5,Nagpur Landfill,"35.7049, 71.8706",49830,2019
Nagpur,Organic,3596,78,19087,6,Incineration,2010,6,Nagpur Landfill,"35.7049, 71.8706",49830,2019
Nagpur,E-Waste,3689,63,19087,9,Recycling,4676,19,Nagpur Landfill,"35.7049, 71.8706",49830,2019
Nagpur,Construction,6771,63,19087,8,Composting,3379,13,Nagpur Landfill,"35.7049, 71.8706",49830,2019
Nagpur,Hazardous,8145,57,19087,6,Recycling,4243,12,Nagpur Landfill,"35.7049, 71.8706",49830,2019
Nagpur,Plastic,6612,31,19087,5,Recycling,1468,17,Nagpur Landfill,"35.7049, 71.8706",49830,2020
Nagpur,Organic,1890,52,19087,5,Incineration,4587,1,Nagpur Landfill,"35.7049, 71.8706",49830,2020
Nagpur,E-Waste,2774,57,19087,8,Composting,1765,9,Nagpur Landfill,"35.7049, 71.8706",49830,2020
Nagpur,Construction,2848,37,19087,5,Composting,3397,9,Nagpur Landfill,"35.7049, 71.8706",49830,2020
Nagpur,Hazardous,9161,52,19087,10,Composting,4277,0,Nagpur Landfill,"35.7049, 71.8706",49830,2020
Nagpur,Plastic,2872,47,19087,5,Incineration,1084,16,Nagpur Landfill,"35.7049, 71.8706",49830,2021
Nagpur,Organic,1799,32,19087,8,Recycling,994,19,Nagpur Landfill,"35.7049, 71.8706",49830,2021
Nagpur,E-Waste,1683,52,19087,8,Recycling,928,3,Nagpur Landfill,"35.7049, 71.8706",49830,2021
Nagpur,Construction,1312,65,19087,8,Incineration,4213,6,Nagpur Landfill,"35.7049, 71.8706",49830,2021
Nagpur,Hazardous,8479,57,19087,5,Incineration,3518,13,Nagpur Landfill,"35.7049, 71.8706",49830,2021
Nagpur,Plastic,4929,39,19087,8,Composting,4371,14,Nagpur Landfill,"35.7049, 71.8706",49830,2022
Nagpur,Organic,8001,78,19087,7,Landfill,1652,11,Nagpur Landfill,"35.7049, 71.8706",49830,2022
Nagpur,E-Waste,4941,42,19087,7,Recycling,1341,13,Nagpur Landfill,"35.7049, 71.8706",49830,2022
Nagpur,Construction,7157,54,19087,9,Landfill,3776,16,Nagpur Landfill,"35.7049, 71.8706",49830,2022
Nagpur,Hazardous,4487,70,19087,8,Landfill,753,6,Nagpur Landfill,"35.7049, 71.8706",49830,2022
Nagpur,Plastic,8211,56,19087,10,Incineration,3459,1,Nagpur Landfill,"35.7049, 71.8706",49830,2023
Nagpur,Organic,3087,44,19087,8,Composting,1673,11,Nagpur Landfill,"35.7049, 71.8706",49830,2023
Nagpur,E-Waste,2446,34,19087,7,Landfill,3797,19,Nagpur Landfill,"35.7049, 71.8706",49830,2023
Nagpur,Construction,7276,84,19087,6,Composting,4414,3,Nagpur Landfill,"35.7049, 71.8706",49830,2023
Nagpur,Hazardous,2698,60,19087,6,Composting,4250,13,Nagpur Landfill,"35.7049, 71.8706",49830,2023
Patna,Plastic,4649,46,16101,7,Landfill,4941,5,Patna Landfill,"18.5496, 94.8411",67316,2019
Patna,Organic,8814,55,16101,7,Incineration,1093,12,Patna Landfill,"18.5496, 94.8411",67316,2019
Patna,E-Waste,9674,61,16101,9,Composting,4410,6,Patna Landfill,"18.5496, 94.8411",67316,2019
Patna,Construction,2770,38,16101,7,Composting,4725,1,Patna Landfill,"18.5496, 94.8411",67316,2019
Patna,Hazardous,8112,75,16101,8,Landfill,4847,14,Patna Landfill,"18.5496, 94.8411",67316,2019
Patna,Plastic,2480,54,16101,6,Composting,2899,1,Patna Landfill,"18.5496, 94.8411",67316,2020
Patna,Organic,9551,53,16101,10,Recycling,613,2,Patna Landfill,"18.5496, 94.8411",67316,2020
Patna,E-Waste,8893,30,16101,9,Composting,2435,5,Patna Landfill,"18.5496, 94.8411",67316,2020
Patna,Construction,2294,60,16101,7,Composting,1318,12,Patna Landfill,"18.5496, 94.8411",67316,2020
Patna,Hazardous,5732,35,16101,10,Landfill,3828,5,Patna Landfill,"18.5496, 94.8411",67316,2020
Patna,Plastic,7850,30,16101,9,Recycling,2453,0,Patna Landfill,"18.5496, 94.8411",67316,2021
Patna,Organic,8634,78,16101,6,Incineration,2042,15,Patna Landfill,"18.5496, 94.8411",67316,2021
Patna,E-Waste,2971,34,16101,10,Recycling,3891,11,Patna Landfill,"18.5496, 94.8411",67316,2021
Patna,Construction,3937,60,16101,10,Recycling,2798,17,Patna Landfill,"18.5496, 94.8411",67316,2021
Patna,Hazardous,2450,81,16101,6,Composting,2554,9,Patna Landfill,"18.5496, 94.8411",67316,2021
Patna,Plastic,5289,80,16101,6,Composting,4814,2,Patna Landfill,"18.5496, 94.8411",67316,2022
Patna,Organic,2838,64,16101,8,Recycling,2341,9,Patna Landfill,"18.5496, 94.8411",67316,2022
Patna,E-Waste,4581,38,16101,10,Recycling,874,14,Patna Landfill,"18.5496, 94.8411",67316,2022
Patna,Construction,8770,85,16101,5,Landfill,4856,16,Patna Landfill,"18.5496, 94.8411",67316,2022
Patna,Hazardous,9560,50,16101,9,Incineration,3551,12,Patna Landfill,"18.5496, 94.8411",67316,2022
Patna,Plastic,9786,79,16101,8,Landfill,4591,12,Patna Landfill,"18.5496, 94.8411",67316,2023
Patna,Organic,1934,32,16101,6,Recycling,3517,20,Patna Landfill,"18.5496, 94.8411",67316,2023
Patna,E-Waste,7176,61,16101,6,Incineration,4670,16,Patna Landfill,"18.5496, 94.8411",67316,2023
Patna,Construction,3657,41,16101,6,Landfill,2447,15,Patna Landfill,"18.5496, 94.8411",67316,2023
Patna,Hazardous,666,58,16101,6,Composting,2751,9,Patna Landfill,"18.5496, 94.8411",67316,2023
Bhopal,Plastic,4466,83,4071,8,Recycling,3118,17,Bhopal Landfill,"18.3203, 75.8314",83130,2019
Bhopal,Organic,6799,51,4071,5,Composting,1735,7,Bhopal Landfill,"18.3203, 75.8314",83130,2019
Bhopal,E-Waste,7350,36,4071,9,Incineration,3424,5,Bhopal Landfill,"18.3203, 75.8314",83130,2019
Bhopal,Construction,9384,71,4071,5,Landfill,1922,18,Bhopal Landfill,"18.3203, 75.8314",83130,2019
Bhopal,Hazardous,8117,44,4071,6,Composting,1207,14,Bhopal Landfill,"18.3203, 75.8314",83130,2019
Bhopal,Plastic,7146,63,4071,10,Composting,2539,16,Bhopal Landfill,"18.3203, 75.8314",83130,2020
Bhopal,Organic,2797,74,4071,10,Landfill,2013,19,Bhopal Landfill,"18.3203, 75.8314",83130,2020
Bhopal,E-Waste,9730,59,4071,8,Recycling,3752,10,Bhopal Landfill,"18.3203, 75.8314",83130,2020
Bhopal,Construction,2396,42,4071,10,Composting,4938,13,Bhopal Landfill,"18.3203, 75.8314",83130,2020
Bhopal,Hazardous,8644,36,4071,8,Recycling,4560,11,Bhopal Landfill,"18.3203, 75.8314",83130,2020
Bhopal,Plastic,3735,47,4071,10,Landfill,4938,14,Bhopal Landfill,"18.3203, 75.8314",83130,2021
Bhopal,Organic,1025,48,4071,10,Composting,503,17,Bhopal Landfill,"18.3203, 75.8314",83130,2021
Bhopal,E-Waste,2177,52,4071,7,Composting,3857,10,Bhopal Landfill,"18.3203, 75.8314",83130,2021
Bhopal,Construction,9006,30,4071,9,Recycling,4386,9,Bhopal Landfill,"18.3203, 75.8314",83130,2021
Bhopal,Hazardous,9834,44,4071,6,Recycling,4541,6,Bhopal Landfill,"18.3203, 75.8314",83130,2021
Bhopal,Plastic,2220,67,4071,9,Landfill,1402,8,Bhopal Landfill,"18.3203, 75.8314",83130,2022
Bhopal,Organic,1942,42,4071,9,Landfill,3010,17,Bhopal Landfill,"18.3203, 75.8314",83130,2022
Bhopal,E-Waste,9089,53,4071,7,Landfill,3699,12,Bhopal Landfill,"18.3203, 75.8314",83130,2022
Bhopal,Construction,7209,52,4071,5,Recycling,3052,2,Bhopal Landfill,"18.3203, 75.8314",83130,2022
Bhopal,Hazardous,4153,74,4071,7,Incineration,4045,0,Bhopal Landfill,"18.3203, 75.8314",83130,2022
Bhopal,Plastic,9364,83,4071,10,Landfill,892,11,Bhopal Landfill,"18.3203, 75.8314",83130,2023
Bhopal,Organic,1667,72,4071,10,Landfill,1400,10,Bhopal Landfill,"18.3203, 75.8314",83130,2023
Bhopal,E-Waste,4863,45,4071,9,Incineration,3429,14,Bhopal Landfill,"18.3203, 75.8314",83130,2023
Bhopal,Construction,6131,50,4071,8,Composting,714,17,Bhopal Landfill,"18.3203, 75.8314",83130,2023
Bhopal,Hazardous,7203,43,4071,9,Recycling,3001,19,Bhopal Landfill,"18.3203, 75.8314",83130,2023
Thiruvananthapuram,Plastic,4709,49,18418,8,Landfill,3236,3,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2019
Thiruvananthapuram,Organic,8515,64,18418,7,Incineration,4289,5,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2019
Thiruvananthapuram,E-Waste,8079,39,18418,6,Recycling,1230,7,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2019
Thiruvananthapuram,Construction,9230,73,18418,8,Recycling,957,4,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2019
Thiruvananthapuram,Hazardous,8655,61,18418,7,Landfill,1124,0,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2019
Thiruvananthapuram,Plastic,4070,83,18418,7,Landfill,4747,1,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2020
Thiruvananthapuram,Organic,4982,44,18418,10,Recycling,3279,6,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2020
Thiruvananthapuram,E-Waste,2323,84,18418,8,Recycling,907,12,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2020
Thiruvananthapuram,Construction,917,35,18418,7,Incineration,1559,14,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2020
Thiruvananthapuram,Hazardous,8160,78,18418,5,Landfill,4193,16,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2020
Thiruvananthapuram,Plastic,7306,67,18418,5,Landfill,1198,3,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2021
Thiruvananthapuram,Organic,3645,54,18418,10,Incineration,2113,18,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2021
Thiruvananthapuram,E-Waste,8521,58,18418,5,Composting,2668,14,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2021
Thiruvananthapuram,Construction,4348,74,18418,10,Incineration,516,20,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2021
Thiruvananthapuram,Hazardous,8086,37,18418,9,Composting,4283,0,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2021
Thiruvananthapuram,Plastic,3990,65,18418,10,Recycling,4017,7,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2022
Thiruvananthapuram,Organic,3262,70,18418,6,Incineration,2759,14,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2022
Thiruvananthapuram,E-Waste,4682,46,18418,9,Incineration,4895,1,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2022
Thiruvananthapuram,Construction,5653,48,18418,9,Landfill,2017,7,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2022
Thiruvananthapuram,Hazardous,3598,84,18418,10,Landfill,2156,15,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2022
Thiruvananthapuram,Plastic,3165,46,18418,9,Recycling,4394,2,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2023
Thiruvananthapuram,Organic,8796,81,18418,9,Incineration,2365,1,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2023
Thiruvananthapuram,E-Waste,1484,57,18418,9,Recycling,1031,9,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2023
Thiruvananthapuram,Construction,5645,48,18418,7,Landfill,3612,17,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2023
Thiruvananthapuram,Hazardous,684,34,18418,10,Composting,4166,20,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,2023
Indore,Plastic,8144,67,2929,9,Composting,3555,5,Indore Landfill,"24.6237, 95.1044",61142,2019
Indore,Organic,9725,81,2929,7,Composting,3629,19,Indore Landfill,"24.6237, 95.1044",61142,2019
Indore,E-Waste,5037,38,2929,10,Recycling,553,2,Indore Landfill,"24.6237, 95.1044",61142,2019
Indore,Construction,9377,54,2929,10,Composting,886,1,Indore Landfill,"24.6237, 95.1044",61142,2019
Indore,Hazardous,5566,78,2929,5,Composting,1566,13,Indore Landfill,"24.6237, 95.1044",61142,2019
Indore,Plastic,9082,78,2929,9,Incineration,4800,16,Indore Landfill,"24.6237, 95.1044",61142,2020
Indore,Organic,6803,69,2929,7,Landfill,1646,8,Indore Landfill,"24.6237, 95.1044",61142,2020
Indore,E-Waste,9293,76,2929,7,Landfill,3839,10,Indore Landfill,"24.6237, 95.1044",61142,2020
Indore,Construction,4596,77,2929,6,Composting,2361,8,Indore Landfill,"24.6237, 95.1044",61142,2020
Indore,Hazardous,1504,78,2929,5,Incineration,1458,2,Indore Landfill,"24.6237, 95.1044",61142,2020
Indore,Plastic,5086,81,2929,10,Composting,3219,0,Indore Landfill,"24.6237, 95.1044",61142,2021
Indore,Organic,725,79,2929,9,Composting,4952,12,Indore Landfill,"24.6237, 95.1044",61142,2021
Indore,E-Waste,6111,66,2929,10,Incineration,2516,0,Indore Landfill,"24.6237, 95.1044",61142,2021
Indore,Construction,4593,55,2929,8,Landfill,3925,0,Indore Landfill,"24.6237, 95.1044",61142,2021
Indore,Hazardous,783,58,2929,9,Recycling,3261,1,Indore Landfill,"24.6237, 95.1044",61142,2021
Indore,Plastic,6251,77,2929,6,Composting,2147,6,Indore Landfill,"24.6237, 95.1044",61142,2022
Indore,Organic,2950,44,2929,8,Composting,1006,1,Indore Landfill,"24.6237, 95.1044",61142,2022
Indore,E-Waste,8734,30,2929,10,Incineration,3781,4,Indore Landfill,"24.6237, 95.1044",61142,2022
Indore,Construction,8915,80,2929,8,Recycling,624,4,Indore Landfill,"24.6237, 95.1044",61142,2022
Indore,Hazardous,5025,36,2929,5,Landfill,3164,12,Indore Landfill,"24.6237, 95.1044",61142,2022
Indore,Plastic,4551,56,2929,7,Incineration,2510,0,Indore Landfill,"24.6237, 95.1044",61142,2023
Indore,Organic,9201,70,2929,9,Recycling,2492,6,Indore Landfill,"24.6237, 95.1044",61142,2023
Indore,E-Waste,4466,74,2929,7,Landfill,4170,5,Indore Landfill,"24.6237, 95.1044",61142,2023
Indore,Construction,814,35,2929,6,Composting,2996,18,Indore Landfill,"24.6237, 95.1044",61142,2023
Indore,Hazardous,7020,79,2929,6,Composting,3768,18,Indore Landfill,"24.6237, 95.1044",61142,2023
Vadodara,Plastic,5125,37,21598,8,Landfill,3475,6,Vadodara Landfill,"31.3853, 71.6585",24927,2019
Vadodara,Organic,8038,72,21598,7,Recycling,1843,19,Vadodara Landfill,"31.3853, 71.6585",24927,2019
Vadodara,E-Waste,7388,32,21598,7,Recycling,4606,20,Vadodara Landfill,"31.3853, 71.6585",24927,2019
Vadodara,Construction,6364,77,21598,6,Incineration,2720,3,Vadodara Landfill,"31.3853, 71.6585",24927,2019
Vadodara,Hazardous,5593,33,21598,6,Landfill,1520,5,Vadodara Landfill,"31.3853, 71.6585",24927,2019
Vadodara,Plastic,1128,30,21598,7,Incineration,2941,0,Vadodara Landfill,"31.3853, 71.6585",24927,2020
Vadodara,Organic,2600,50,21598,5,Incineration,609,8,Vadodara Landfill,"31.3853, 71.6585",24927,2020
Vadodara,E-Waste,6120,47,21598,8,Landfill,1084,19,Vadodara Landfill,"31.3853, 71.6585",24927,2020
Vadodara,Construction,8236,53,21598,5,Recycling,4879,15,Vadodara Landfill,"31.3853, 71.6585",24927,2020
Vadodara,Hazardous,4637,73,21598,8,Recycling,2427,5,Vadodara Landfill,"31.3853, 71.6585",24927,2020
Vadodara,Plastic,7724,36,21598,8,Composting,509,11,Vadodara Landfill,"31.3853, 71.6585",24927,2021
Vadodara,Organic,9247,48,21598,8,Incineration,683,0,Vadodara Landfill,"31.3853, 71.6585",24927,2021
Vadodara,E-Waste,6645,81,21598,7,Composting,2420,17,Vadodara Landfill,"31.3853, 71.6585",24927,2021
Vadodara,Construction,8397,75,21598,6,Incineration,2919,16,Vadodara Landfill,"31.3853, 71.6585",24927,2021
Vadodara,Hazardous,2986,33,21598,5,Composting,755,17,Vadodara Landfill,"31.3853, 71.6585",24927,2021
Vadodara,Plastic,7390,46,21598,5,Incineration,3675,9,Vadodara Landfill,"31.3853, 71.6585",24927,2022
Vadodara,Organic,3591,71,21598,5,Recycling,3317,12,Vadodara Landfill,"31.3853, 71.6585",24927,2022
Vadodara,E-Waste,4487,46,21598,7,Composting,989,7,Vadodara Landfill,"31.3853, 71.6585",24927,2022
Vadodara,Construction,5732,79,21598,6,Incineration,4010,6,Vadodara Landfill,"31.3853, 71.6585",24927,2022
Vadodara,Hazardous,2037,35,21598,8,Composting,3000,0,Vadodara Landfill,"31.3853, 71.6585",24927,2022
Vadodara,Plastic,1325,60,21598,6,Recycling,3482,20,Vadodara Landfill,"31.3853, 71.6585",24927,2023
Vadodara,Organic,2028,85,21598,5,Landfill,2092,8,Vadodara Landfill,"31.3853, 71.6585",24927,2023
Vadodara,E-Waste,9199,35,21598,10,Composting,4382,18,Vadodara Landfill,"31.3853, 71.6585",24927,2023
Vadodara,Construction,5872,38,21598,8,Incineration,2663,0,Vadodara Landfill,"31.3853, 71.6585",24927,2023
Vadodara,Hazardous,6592,45,21598,5,Incineration,4874,20,Vadodara Landfill,"31.3853, 71.6585",24927,2023
Guwahati,Plastic,2374,37,22866,5,Recycling,1243,13,Guwahati Landfill,"19.7894, 85.8429",60935,2019
Guwahati,Organic,8355,47,22866,10,Landfill,4050,6,Guwahati Landfill,"19.7894, 85.8429",60935,2019
Guwahati,E-Waste,9369,37,22866,9,Landfill,1382,12,Guwahati Landfill,"19.7894, 85.8429",60935,2019
Guwahati,Construction,8457,79,22866,6,Incineration,1687,7,Guwahati Landfill,"19.7894, 85.8429",60935,2019
Guwahati,Hazardous,4891,56,22866,5,Recycling,3499,11,Guwahati Landfill,"19.7894, 85.8429",60935,2019
Guwahati,Plastic,822,80,22866,6,Landfill,4966,13,Guwahati Landfill,"19.7894, 85.8429",60935,2020
Guwahati,Organic,4079,73,22866,8,Incineration,2246,18,Guwahati Landfill,"19.7894, 85.8429",60935,2020
Guwahati,E-Waste,4047,58,22866,6,Recycling,4462,3,Guwahati Landfill,"19.7894, 85.8429",60935,2020
Guwahati,Construction,3438,63,22866,8,Incineration,1247,1,Guwahati Landfill,"19.7894, 85.8429",60935,2020
Guwahati,Hazardous,3115,46,22866,6,Composting,4252,17,Guwahati Landfill,"19.7894, 85.8429",60935,2020
Guwahati,Plastic,1484,78,22866,6,Composting,4003,3,Guwahati Landfill,"19.7894, 85.8429",60935,2021
Guwahati,Organic,4543,79,22866,7,Recycling,3813,13,Guwahati Landfill,"19.7894, 85.8429",60935,2021
Guwahati,E-Waste,7401,82,22866,9,Incineration,4307,3,Guwahati Landfill,"19.7894, 85.8429",60935,2021
Guwahati,Construction,9218,84,22866,9,Composting,1433,7,Guwahati Landfill,"19.7894, 85.8429",60935,2021
Guwahati,Hazardous,7562,74,22866,6,Incineration,3410,18,Guwahati Landfill,"19.7894, 85.8429",60935,2021
Guwahati,Plastic,6340,47,22866,9,Incineration,2172,3,Guwahati Landfill,"19.7894, 85.8429",60935,2022
Guwahati,Organic,1976,39,22866,5,Composting,930,8,Guwahati Landfill,"19.7894, 85.8429",60935,2022
Guwahati,E-Waste,9002,39,22866,8,Recycling,2298,17,Guwahati Landfill,"19.7894, 85.8429",60935,2022
Guwahati,Construction,9229,69,22866,8,Landfill,728,0,Guwahati Landfill,"19.7894, 85.8429",60935,2022
Guwahati,Hazardous,3522,70,22866,9,Composting,1428,16,Guwahati Landfill,"19.7894, 85.8429",60935,2022
Guwahati,Plastic,5833,70,22866,5,Incineration,1084,18,Guwahati Landfill,"19.7894, 85.8429",60935,2023
Guwahati,Organic,7866,47,22866,7,Incineration,2757,18,Guwahati Landfill,"19.7894, 85.8429",60935,2023
Guwahati,E-Waste,4726,55,22866,7,Recycling,702,1,Guwahati Landfill,"19.7894, 85.8429",60935,2023
